PitcherThrows,RelSpeed,SpinRate,RelHeight,ZoneSpeed,ZoneTime,Extension,VertRelAngle,HorzRelAngle,SpinAxis,RelSide,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,VertApprAngle,HorzApprAngle,TaggedPitchNum
116,Right,74.01579,2744.31936,6.18857,67.61125,0.528139,4.76857,0.160973,-1.139829,20.796421,0.80873,-59.31295,-5.46693,-2.78894,1.39847,-0.50448,-10.493305,-1.631534,4
117,Right,84.43909,2085.594713,5.67387,76.00544,0.464835,4.61893,2.285,0.291928,245.327174,1.20715,-32.58226,9.12906,16.67032,5.1322,2.87387,-3.679898,3.211249,0
118,Right,74.86312,2886.710853,6.14134,68.15666,0.523499,4.6408,1.54346,0.424124,18.089836,0.8164,-63.07023,-10.16611,-3.92445,2.35265,0.89242,-9.77065,-0.265913,4
119,Right,84.98737,1913.900169,5.6555,77.40674,0.453565,5.29173,-0.951059,-0.168001,213.2916,1.40463,-22.81123,16.9021,10.2356,2.86149,2.09985,-5.208575,1.649092,0
120,Right,78.87142,1508.716402,5.32894,72.27002,0.48523,5.61673,-0.086466,-1.892874,251.760452,1.41839,-39.77616,5.67571,12.79859,1.93353,0.71772,-7.403275,0.394,2
121,Right,76.21294,2202.394846,5.50392,70.33318,0.509425,4.79457,0.623911,-0.09407,19.809782,1.33879,-59.34991,-9.25229,-3.89138,1.14936,0.92536,-10.006103,-0.780715,1
122,Right,84.83369,1961.661007,5.5516,77.76316,0.455558,5.12653,-2.213196,-3.025671,238.040502,1.45057,-28.51509,11.54792,16.43505,1.08693,-0.03218,-7.435825,-0.118269,5
123,Right,86.32585,2103.079138,5.50401,78.2572,0.448425,5.24116,-1.085975,-2.032475,242.016544,1.53789,-28.04879,10.76957,17.71383,2.14521,1.10305,-6.268825,1.109383,5
124,Right,76.42388,2312.868741,5.5213,69.68811,0.509767,4.80543,2.322121,-0.361524,55.501853,1.43227,-54.87609,-4.71103,-9.25985,3.14961,0.31809,-7.583381,-1.991022,1
125,Right,75.23628,2195.845401,5.54271,69.35259,0.514813,5.02918,0.013514,-2.034039,62.913059,1.19851,-54.88865,-3.72559,-10.4413,0.98142,-1.59159,-9.86669,-3.880331,1
126,Right,85.88371,2066.586503,5.64537,78.02198,0.450537,5.24184,-1.976571,-1.364135,230.409712,1.02195,-25.81253,13.37237,14.52253,1.63544,0.94988,-6.753875,1.212915,5
127,Right,86.96531,2072.976628,5.54495,79.07498,0.445362,5.34814,-3.421035,-4.240346,216.94715,1.32336,-23.4682,14.82158,10.13351,0.36782,-1.81676,-7.769678,-2.445704,0
128,Right,75.61585,2189.694242,5.49702,68.31687,0.516589,5.06867,0.273572,-0.373924,51.557736,1.40523,-56.79204,-5.2754,-9.1054,1.02229,0.29389,-10.024055,-1.988166,1
129,Right,79.44991,1626.542188,5.3339,71.64738,0.484891,5.63787,0.366664,-2.312753,242.213799,1.70674,-35.00431,10.38406,16.56808,2.75923,0.92865,-6.152283,0.64594,2
130,Right,87.02862,2086.321883,5.63345,78.36193,0.445375,5.38418,-2.210627,-2.4941,229.654199,1.29414,-21.936,16.35611,17.56706,1.73035,0.41877,-6.331017,0.628054,0
131,Right,80.96226,1672.886776,5.24285,73.97848,0.474489,5.45867,-1.128381,-1.709411,221.407166,1.54503,-29.6788,13.78324,10.89371,1.71281,0.85229,-6.62564,0.230664,2
132,Right,84.61731,2046.573456,5.42978,76.86169,0.456647,5.25549,-0.433664,-1.561602,241.948872,1.8198,-28.73655,11.51831,19.04521,2.62744,1.93928,-5.747611,1.81742,5
133,Right,86.26031,2032.532709,5.56361,77.72171,0.450903,5.08113,-0.299214,-0.782201,226.575798,1.65886,-23.94379,15.30465,14.67194,3.28621,2.14415,-4.76638,1.812007,0
134,Right,85.00446,1845.027497,5.57421,77.22159,0.455982,5.12781,-1.08428,-1.320305,238.798675,1.75374,-30.01856,10.11922,14.42166,2.05108,1.71185,-6.604745,1.233521,5
